ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35190918,B,Jungermanniaceae,,Alicularia,,"grandistipula",,"","Herzog",Unresolved,,L,TRO,35190918,,"Biblioth. Bot.","88: 30","30","1921",
tro-35190920,B,Jungermanniaceae,,Alicularia,,"hasskarliana",,"","Nees",Synonym,,M,TRO,35190920,,"Syn. Hepat.","12","12","1844",tro-35218178
tro-35190921,B,Jungermanniaceae,,Alicularia,,"insecta",,"","(Lindb.) Levier",Accepted,,M,TRO,35190921,,"Boll. Soc. Bot. Ital.","1905: 208","208","1905",
tro-35190941,B,Jungermanniaceae,,Alicularia,,"japonica",,"","(Stephani) Stephani",Accepted,,M,TRO,35190941,,"Sp. Hepat.","2: 45","45","1901",
tro-35190011,B,Jungermanniaceae,,Alicularia,,"lescurii",,"","Austin",Synonym,,M,TRO,35190011,,"Hepat. Bor.-Amer. Exsicc.","4","4","1873",tro-35185649
tro-35190942,B,Jungermanniaceae,,Alicularia,,"lindmanii",,"","(Stephani) Stephani",Accepted,,M,TRO,35190942,,"Sp. Hepat.","2: 43","43","1901",
tro-35190943,B,Jungermanniaceae,,Alicularia,,"minor",,"","(Nees) Limpr.",Accepted,,M,TRO,35190943,,"Krypt.-Fl. Schlesien","1: 251","251","1876",
tro-35190944,B,Jungermanniaceae,,Alicularia,,"mulleriana",,"","(Schiffner) Müll. Hal.",Accepted,,M,TRO,35190944,,"Bull. Herb. Boissier, sér. 2,","5: 593","593","1905",
tro-35190945,B,Jungermanniaceae,,Alicularia,,"notoscyphoides",,"","(Schiffner) Stephani",Accepted,,M,TRO,35190945,,"Sp. Hepat.","2: 44","44","1901",
tro-35190946,B,Adelanthaceae,,Alicularia,,"occlusa",,"","(Hook. f. & Taylor) Hook. f. & Taylor",Synonym,,M,TRO,35190946,,"Syn. Hepat.","619","619","1846",tro-35212128
tro-35190947,B,Jungermanniaceae,,Alicularia,,"pachyphylla",,"","De Not.",Unresolved,,L,TRO,35190947,,"Mem. Reale Accad. Sci. Torino","18: 487","487","1859",
tro-35190989,B,Jungermanniaceae,,Alicularia,,"rotaeana",,"","De Not.",Synonym,,M,TRO,35190989,,"Mem. Reale Accad. Sci. Torino","18: 484","484","1859",tro-35204446
tro-35190990,B,Jungermanniaceae,,Alicularia,,"rufescens",,"","Dumort.",Unresolved,,L,TRO,35190990,,"Syll. Jungerm. Europ.","79","79","1831",
tro-35190991,B,Jungermanniaceae,,Alicularia,,"scalaris",,"","(Schrad.) Corda",Accepted,,M,TRO,35190991,,"Deutschl. Fl., Abt. II, Cryptog.","19–20: 32","32","1830",
tro-35190992,B,Jungermanniaceae,,Alicularia,,"scalaris",var.,"major","(Nees) Nees",Accepted,,L,TRO,35190992,,"Naturgesch. Eur. Leberm.","2: 449","449","1836",
tro-35190999,B,Jungermanniaceae,,Alicularia,,"scalaris",f.,"minor","(Nees) Nees",Synonym,,L,TRO,35190999,,"Naturgesch. Eur. Leberm.","2: 449","449","1836",tro-35190943
tro-35190996,B,Jungermanniaceae,,Alicularia,,"scalaris",f.,"rigens","(Nees) Nees",Accepted,,L,TRO,35190996,,"Naturgesch. Eur. Leberm.","449","449","1836",
tro-35191057,B,Lophocoleaceae,,Alicularia,,"strongylophylla",,"","(Taylor & Hook. f.) Taylor & Hook. f.",Synonym,,M,TRO,35191057,,"Syn. Hepat.","619","619","1846",tro-35200721
tro-35191060,B,Jungermanniaceae,,Alicularia,,"succulenta",,"","(Rich. ex Lehm. & Lindenb.) Spruce",Accepted,,M,TRO,35191060,,"J. Linn. Soc., Bot.","30: 364","364","1895",
tro-35191061,B,Jungermanniaceae,,Alicularia,,"tenella",,"","Rodway",Unresolved,,L,TRO,35191061,,"Pap. & Proc. Roy. Soc. Tasmania","1916: 45","45","1916",
tro-35216344,B,Lophocoleaceae,,Alicularia,,"vermicularis",,"","(Lehm.) Gottsche, Lindenb. & Nees",Synonym,,M,TRO,35216344,,"Syn. Hepat.","11","11","1844",tro-35200722
﻿ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35102625,B,Amblystegiaceae,,Amblystegiella,,"adnata",,"","(Hedw.) Nichols",Synonym,,M,TRO,35102625,,"Bryologist","11: 5","5","1908",tro-35204017
tro-35102626,B,Plagiotheciaceae,,Amblystegiella,,"alpicola",,"","(Lindb. ex Lindb. & Arnell) Broth.",Synonym,,M,TRO,35102626,,"Laubm. Fennoskand.","453","453","1923",tro-35184158
tro-35102628,B,Amblystegiaceae,,Amblystegiella,,"confervoides",,"","(Brid.) Loeske",Synonym,,M,TRO,35102628,,"Moosfl. Harz.","295","295","1903",tro-35182606
tro-35102630,B,Amblystegiaceae,,Amblystegiella,,"densissima",,"","(Cardot) Broth.",Accepted,,M,TRO,35102630,,"Nat. Pflanzenfam.","I(3): 1025","1025","1908",
tro-35102631,B,Amblystegiaceae,,Amblystegiella,,"fauriei",,"","Cardot",Synonym,,M,TRO,35102631,,"Bull. Soc. Bot. Genève","5: 321","321","1913",tro-35169633
tro-35102632,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",,"","(Brid.) Giacom.",Accepted,,M,TRO,35102632,,"Ist. Bot. Reale Univ. Reale Lab. Crittog. Pavia, Atti","4: 262","262","1947",
tro-35102633,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",var.,"minutissima","(Sull. & Lesq.) Podp.",Accepted,,L,TRO,35102633,,"Consp. Musc. Eur.","562","562","1954",
tro-35204015,B,Amblystegiaceae,,Amblystegiella,,"jungermannioides",f.,"serrata","(Meyl.) Podp.",Accepted,,L,TRO,35204015,,"Consp. Musc. Eur.","562","562","1954",
